source,target,weight
Debat i/om Helsingør Kommune,weekendavisen.dk,2
Debatten Bornholm,berlingske.dk,2
Debatten Bornholm,bt.dk,4
Debatten Bornholm,dr.dk,2
Debatten Bornholm,indblik.net,2
Debatten Bornholm,ing.dk,2
Debatten Bornholm,jyllands-posten.dk,2
Debatten Bornholm,klimarealisme.dk,1
Debatten Bornholm,kristeligt-dagblad.dk,1
Debatten Bornholm,landbrugsavisen.dk,1
Debatten Bornholm,nan,6
Debatten Bornholm,newspeek.info,1
Debatten Bornholm,nyheder.tv2.dk,1
Debatten Bornholm,resett.no,1
Deborah,24nyt.dk,1
Deborah,newspeek.info,1
Demokratisk Norden DK,arbejderen.dk,1
Demokratisk Norden DK,nan,2
Den Nordiska Unionens Vänner,nan,1
Den Offentlige,denoffentlige.dk,11
Den dele venlig frihedsgruppe,borgerforslag.dk,1
Den dele venlig frihedsgruppe,nan,1
Den flinke,altinget.dk,1
Den flinke,dr.dk,1
Den flinke,ing.dk,1
Den flinke,nan,69
Den flinke,nrk.no,1
Den flinke,twitter,1
Den hurtige analyse⚡️,nan,3
Den super-flinke,fyens.dk,1
Den super-flinke,politiken.dk,1
Dennis Flydtkjær,ekstrabladet.dk,1
Dennis Flydtkjær,jyllands-posten.dk,1
Dennis Leth,berlingske.dk,1
Dennis Leth,stiften.dk,1
Det Goda Samhället,detgodasamhallet.com,2
Det Konservative Folkeparti,nan,8
Det Konservative Folkeparti,nyheder.tv2.dk,2
Det Nationale Danmarks Natur,24nyt.dk,28
Det Nationale Danmarks Natur,altinget.dk,14
Det Nationale Danmarks Natur,baeredygtigtlandbrug.dk,1
Det Nationale Danmarks Natur,berlingske.dk,5
Det Nationale Danmarks Natur,borgerforslag.dk,1
Det Nationale Danmarks Natur,breitbart.com,1
Det Nationale Danmarks Natur,bt.dk,3
Det Nationale Danmarks Natur,denkorteavis.dk,1
Det Nationale Danmarks Natur,ditoverblik.dk,5
Det Nationale Danmarks Natur,document.dk,4
Det Nationale Danmarks Natur,document.no,13
Det Nationale Danmarks Natur,dr.dk,14
Det Nationale Danmarks Natur,effektivtlandbrug.landbrugnet.dk,1
Det Nationale Danmarks Natur,facebook,2
Det Nationale Danmarks Natur,folkets.dk,1
Det Nationale Danmarks Natur,gylle.dk,21
Det Nationale Danmarks Natur,indblik.net,1
Det Nationale Danmarks Natur,information.dk,6
Det Nationale Danmarks Natur,ing.dk,3
Det Nationale Danmarks Natur,jv.dk,1
Det Nationale Danmarks Natur,jyllands-posten.dk,5
Det Nationale Danmarks Natur,kristeligt-dagblad.dk,1
Det Nationale Danmarks Natur,landbrugsavisen.dk,4
Det Nationale Danmarks Natur,landmisbrug.dk,1
Det Nationale Danmarks Natur,nan,26
Det Nationale Danmarks Natur,newspeek.info,4
Det Nationale Danmarks Natur,nordjyske.dk,1
Det Nationale Danmarks Natur,nyheder.tv2.dk,9
Det Nationale Danmarks Natur,nytimes.com,1
Det Nationale Danmarks Natur,politiken.dk,8
Det Nationale Danmarks Natur,theguardian.com,1
Det Nationale Danmarks Natur,tvmidtvest.dk,1
Det Nationale Danmarks Natur,vejr.tv2.dk,1
Det Nationale Danmarks Natur,videnskab.dk,2
"Det räcker nu !! Jag vill ha omval, NU !!",derimot.no,1
Det sker i Ringsted,facebook,6
Det sker i Ringsted,nan,10
Dette sker i de jyske byer,nan,2
Dexter,gota.media,1
DfJINFO,journalistenwatch.com,1
Diane Dybdal,k.dk,1
Diane Dybdal,nan,8
Diane Dybdal,nyheder.tv2.dk,1
Direkte Demokrati Forum.,facebook,1
Dissident Bula! 🔫,gota.media,1
Ditte,berlingske.dk,1
Ditte,information.dk,1
Ditte,politiken.dk,1
Dorthe Jensen,information.dk,1
Dorthe Ullemose,nan,3
Douglas john pettigrew,nan,1
Dr B. Whoo,gota.media,1
Dr B. Whoo,zerohedge.com,1
Dr. Gunter Link,nan,1
DragørNyheder,borgerforslag.dk,1
DragørNyheder,dr.dk,1
DragørNyheder,jyllands-posten.dk,1
DragørNyheder,nan,3
Du Betaler,ekstrabladet.dk,1
"Då Löfven inget annat kan än att säga sanningen, (Krachen)..",nan,1
E B 🇩🇰,videnskab.dk,1
EU - Fakta og Debat,dr.dk,1
EU - Fakta og Debat,information.dk,1
EU støtter invasionen af Europa,nyeborgerlige.dk,1
Eddie Graf,twitter,1
Egalias Datter,jp.dk,4
Egon Ø. 🇩🇰🇩🇪🇺🇸,nan,1
Eike Ziehe,faz.net,1
Elisabeth Hillström,nan,2
Else Andreasen,nan,2
Else Dokkedal,altinget.dk,1
Else Dokkedal,samnytt.se,1
Emmy Suchi,gota.media,1
Enar Garm,nan,1
Enhedslisten Norddjurs,arbejderen.dk,2
Enhedslisten Norddjurs,dr.dk,2
Enhedslisten Norddjurs,effektivtlandbrug.landbrugnet.dk,1
Enhedslisten Norddjurs,facebook,2
Enhedslisten Norddjurs,information.dk,1
Enhedslisten Norddjurs,nan,10
Enhedslisten Norddjurs,politiken.dk,1
Enrico,nan,1
Enten et Folketing...eller et EU...man kan jo ikke puste med mel i munden,180grader.dk,2
Enten et Folketing...eller et EU...man kan jo ikke puste med mel i munden,24nyt.dk,1
Enten et Folketing...eller et EU...man kan jo ikke puste med mel i munden,berlingske.dk,1
Enten et Folketing...eller et EU...man kan jo ikke puste med mel i munden,dr.dk,1
Enten et Folketing...eller et EU...man kan jo ikke puste med mel i munden,facebook,1
Enten et Folketing...eller et EU...man kan jo ikke puste med mel i munden,nan,5
Enzendo,svt.se,1
Erik Høgh-Sørensen,altinget.dk,1
Erik Høgh-Sørensen,berlingske.dk,2
Erik Høgh-Sørensen,journalista.dk,1
Erik Høgh-Sørensen,nan,63
Erik Høgh-Sørensen - Politik,nan,1
Erik Høgh-Sørensen DF,baeredygtigtlandbrug.dk,1
Erik Høgh-Sørensen DF,journalista.dk,1
Erik Høgh-Sørensen DF,mm.dk,1
Erik Høgh-Sørensen DF,nan,5
Erik Lissner,nettavisen.no,1
Erik Ohls,nan,1
Erik Pio Pedersen,berlingske.dk,1
Erik Pio Pedersen,denkorteavis.dk,3
Erik Pio Pedersen,document.dk,1
Erik Pio Pedersen,nan,1
Erik Stoy,di.se,1
Eskild Beiter - Byrådskandidat Venstre Gribskov,nan,4
Etrusci 🎯🇬🇧,politiken.dk,1
Europaordfører Kim Valentin,ft.com,1
Europaordfører Kim Valentin,nan,1
Eva Bjuhr,gota.media,1
Eva Illråde (dålig ton) 🇸🇪,nan,1
Eva Jørgensen - Dansk Folkeparti - Fyn,berlingske.dk,1
Eva Jørgensen - Dansk Folkeparti - Fyn,nan,2
Eva Jørgensen - Dansk Folkeparti - Fyn,nyheder.tv2.dk,1
"Eva Sommer-Madsen, Kommunalbestyrelsen Vordingborg Kommune, Venstre, #esmvv",altinget.dk,1
"Eva Sommer-Madsen, Kommunalbestyrelsen Vordingborg Kommune, Venstre, #esmvv",nan,2
Eva Toller 🇸🇪 🇺🇦,varldenidag.se,1
F.G.R. Perlensucher,dieunbestechlichen.com,1
FOLKEAKSJONEN MOT ØKTE STRØMPRISER,nan,2
Facebook Sønderborg,facebook,4
Facebook Sønderborg,jv.dk,1
Facebook Sønderborg,nan,12
Facebook Sønderborg,sonderborgnyt.dk,3
Facebook Vejle,facebook,5
Facebook Vejle,nan,21
Farvel Europa - det var rart at kende dig.,altinget.dk,1
Farvel Europa - det var rart at kende dig.,berlingske.dk,6
Farvel Europa - det var rart at kende dig.,bt.dk,3
Farvel Europa - det var rart at kende dig.,ditoverblik.dk,2
Farvel Europa - det var rart at kende dig.,dr.dk,4
Farvel Europa - det var rart at kende dig.,ekstrabladet.dk,5
Farvel Europa - det var rart at kende dig.,folkets.dk,1
Farvel Europa - det var rart at kende dig.,information.dk,1
Farvel Europa - det var rart at kende dig.,jyllands-posten.dk,4
Farvel Europa - det var rart at kende dig.,kristeligt-dagblad.dk,1
Farvel Europa - det var rart at kende dig.,nan,8
Farvel Europa - det var rart at kende dig.,nyeborgerlige.dk,1
Farvel Europa - det var rart at kende dig.,nyheder.tv2.dk,6
Farvel Europa - det var rart at kende dig.,welt.de,1
Fenris Wolf,nyheder.tv2.dk,1
Fenrizwúlf (Völkish Spirit),jyllands-posten.dk,1
Fia🇸🇪 👁👁 Gud ser dig!❤🧡💛💚💙🤎🤎🖤🤍💝,gota.media,1
Film Snak Klub,bbc.com,1
Fjordman,jp.dk,3
Flemming Møldrup,altinget.dk,1
Flemming Møldrup,bloomberg.com,1
Flemming Møldrup,dr.dk,1
Flemming Møldrup,information.dk,1
Flemming Møldrup,nan,6
Flemming Møldrup,nyheder.tv2.dk,1
Flemming Møldrup,politiken.dk,9
Flemming Møldrup,theguardian.com,1
Flemming Nielsen,bt.dk,1
Flemming Nielsen,friatider.se,1
Flemming Nielsen,tv2lorry.dk,1
Flemming Rømer Dansk Folkeparti,altinget.dk,1
Flemming Rømer Dansk Folkeparti,danskfolkeparti.dk,1
Flemming Rømer Dansk Folkeparti,facebook,3
Flemming Rømer Dansk Folkeparti,jyllands-posten.dk,1
Flemming Rømer Dansk Folkeparti,nan,2
Flemming Rømer Dansk Folkeparti,nyheder.tv2.dk,1
Flemming Ørhem (Politisk),jyllands-posten.dk,1
FolkeVærnet,nyheder.tv2.dk,1
Folkebevægelsen mod EU's venner,altinget.dk,4
Folkebevægelsen mod EU's venner,arbejderen.dk,3
Folkebevægelsen mod EU's venner,berlingske.dk,1
Folkebevægelsen mod EU's venner,facebook,1
Folkebevægelsen mod EU's venner,jv.dk,1
Folkebevægelsen mod EU's venner,nan,6
Folkebevægelsen mod EU's venner,theguardian.com,1
Folkebevægelsen mod EU's venner,videnskab.dk,1
Folkepensionisterne svigtes af Folketinget  (FSAF),altinget.dk,2
Folkepensionisterne svigtes af Folketinget  (FSAF),berlingske.dk,2
Folkepensionisterne svigtes af Folketinget  (FSAF),jyllands-posten.dk,3
Folkepensionisterne svigtes af Folketinget  (FSAF),nan,3
Folkepensionisterne svigtes af Folketinget  (FSAF),nyheder.tv2.dk,2
Folkets,folkets.dk,28
Folkets Avis,dlvr.it,7
Folkets Avis,folkets.dk,63
Folkets Stemme,berlingske.dk,1
Folkets Stemme,ing.dk,1
Folkets Stemme,nan,1
For Danmark,facebook,1
For Danmark,jyllands-posten.dk,1
Forbyd Koranen,altinget.dk,1
Forbyd Koranen,berlingske.dk,1
Forbyd Koranen,dr.dk,1
Forbyd Koranen,facebook,5
Forbyd Koranen,nan,13
Foreningen Atomkraft Ja Tak,berlingske.dk,1
Foreningen Atomkraft Ja Tak,dr.dk,1
Foreningen Atomkraft Ja Tak,facebook,9
Foreningen Atomkraft Ja Tak,indblik.dk,1
Foreningen Atomkraft Ja Tak,indblik.net,1
Foreningen Atomkraft Ja Tak,information.dk,2
Foreningen Atomkraft Ja Tak,ing.dk,1
Foreningen Atomkraft Ja Tak,miljoogklima.dk,1
Foreningen Atomkraft Ja Tak,nan,2
Foreningen Atomkraft Ja Tak,raeson.dk,1
Foreningen Radio24shh,nan,5
Forest Rave,folkets.dk,1
Forest Rave,nan,1
Fornsvensk,bit.ly,1
FrankTaishi Thøgerse,document.no,1
FrankTaishi Thøgerse,forskning.no,1
FrankTaishi Thøgerse,klimarealistene.com,1
FrankTaishi Thøgerse,kristeligt-dagblad.dk,1
FrankTaishi Thøgerse,miniistid.blogg.no,5
FrankTaishi Thøgerse,resett.no,2
FrankTaishi Thøgerse,steigan.no,1
Frederik Damgaard,altinget.dk,1
Frederik Damgaard,berlingske.dk,2
Frederik Damgaard,dr.dk,2
Frederik Damgaard,facebook,2
Frederik Damgaard,jyllands-posten.dk,3
Frederik Damgaard,linkedin.com,1
Frederik Damgaard,nan,7
Frederik Damgaard,nyheder.tv2.dk,1
Frederik N. Dam,nan,2
Frederik N. Dam,raeson.dk,2
Freiheitsweib,tl.gd,1
"Fri debat om ytringsfrihed, udlændinge og indvandring uden men",ditoverblik.dk,1
"Fri debat om ytringsfrihed, udlændinge og indvandring uden men",facebook,4
"Fri debat om ytringsfrihed, udlændinge og indvandring uden men",nan,1
Frie Danske,balletmagnifique.blogspot.com,1
Frie Danske,nan,15
Frigg Thorsen,nan,1
Frihedens Stemme,nan,4
Frihedslisten,nan,2
Fröken Sverige 🇸🇪 كافرة,gota.media,1
Fungo,berlingske.dk,5
Fungo,finans.dk,1
Fungo,jp.dk,7
Fungo,nan,1
Fungo,rokokoposten.dk,2
G.lindqvist,nan,1
GRUNNLOVENS FOLKE STYRE region/fylke Møre og Romsdal,derimot.no,1
GRUNNLOVENS FOLKE STYRE region/fylke Møre og Romsdal,document.no,1
GRUNNLOVENS FOLKE STYRE region/fylke Møre og Romsdal,nan,1
GRUNNLOVENS FOLKE STYRE region/fylke Møre og Romsdal,resett.no,1
Gamers_Gold,berlingske.dk,1
Gamers_Gold,folkets.dk,1
Gamers_Gold,journalista.dk,1
Gang I Glostrup,dr.dk,1
Gang I Glostrup,nan,2
Garvsyra,gota.media,1
Gautt,nan,2
Gedankenverbrecher 🧂,nan,1
Geir Vikan,jp.dk,1
Gisela Cianciulli,nan,1
"Githa Nelander, Nye Borgerlige",nan,1
"Githa Nelander, Nye Borgerlige",nyeborgerlige.dk,1
Gitte Kristensen,nan,4
Gitte Kristensen,nyheder.tv2.dk,3
Glad_norrlänning,anthropocene.live,1
Glistrup havde ret,24nyt.dk,2
Gnesta verkligen tillsammans,nan,1
Gode Penge - Debatgruppen,bbc.com,1
Gode Penge - Debatgruppen,berlingske.dk,1
Gode Penge - Debatgruppen,dr.dk,1
Gode Penge - Debatgruppen,facebook,19
Gode Penge - Debatgruppen,finans.dk,3
Gode Penge - Debatgruppen,information.dk,4
Gode Penge - Debatgruppen,nan,32
Gode Penge - Debatgruppen,politiken.dk,2
Gode Penge - Debatgruppen,raeson.dk,1
Gode Penge - Debatgruppen,zetland.dk,1
Gooner355,carlnorberg.se,1
Graf von Trausnitz,faz.net,1
Greta Andersson,gota.media,1
"Gribskov, Tisvilde Hegn, Melby Overdrev - Uden Hegn !",altinget.dk,2
"Gribskov, Tisvilde Hegn, Melby Overdrev - Uden Hegn !",dr.dk,1
"Gribskov, Tisvilde Hegn, Melby Overdrev - Uden Hegn !",ing.dk,1
"Gribskov, Tisvilde Hegn, Melby Overdrev - Uden Hegn !",nan,2
"Gribskov, Tisvilde Hegn, Melby Overdrev - Uden Hegn !",tv2lorry.dk,1
"Gribskov, Tisvilde Hegn, Melby Overdrev - Uden Hegn !",tvmidtvest.dk,1
Gunnar Flinta,aftonbladet.se,1
Gør Inger Støjberg til formand for Venstre,24nyt.dk,1
H. C. Andersen,24nyt.dk,3
H. C. Andersen,berlingske.dk,43
H. C. Andersen,finans.dk,1
H. C. Andersen,information.dk,1
H. Kronborg,nan,4
HASSE SVENNINGSSON,gota.media,1
HELE DANMARKS POLITISKE DEBATGRUPPE,altinget.dk,2
HELE DANMARKS POLITISKE DEBATGRUPPE,berlingske.dk,1
HELE DANMARKS POLITISKE DEBATGRUPPE,borgerforslag.dk,2
HELE DANMARKS POLITISKE DEBATGRUPPE,dr.dk,3
HELE DANMARKS POLITISKE DEBATGRUPPE,facebook,1
HELE DANMARKS POLITISKE DEBATGRUPPE,ing.dk,2
HELE DANMARKS POLITISKE DEBATGRUPPE,nan,2
HP Beck,nan,4
HallonBlomster🌺🇸🇪✨🇭🇺,nan,1
Halsnæs Chatten,bt.dk,1
Halsnæs Chatten,sn.dk,2
Halsnæs Chatten,videnskab.dk,1
Hanne Sørensen,a.msn.com,1
Hanne Sørensen,nan,3
Hanne kronborg - NEJ TIL ISLAM I DANMARK,nan,1
Hans B.,jp.dk,1
Hans Blaaberg,berlingske.dk,2
Hans Christian Schmidt,altinget.dk,1
Hans Christian Schmidt,dr.dk,3
Hans Christian Schmidt,jyllands-posten.dk,1
Hans Johansson,varldenidag.se,1
Hans Kristian Skibby,bt.dk,1
Hans Kristian Skibby,ditoverblik.dk,4
Hans Kristian Skibby,jyllands-posten.dk,1
Hans Westerberg,gp.se,1
Hans Westerberg,samnytt.se,1
Haslev for ALLE,nan,5
Hay broker og investering,24nyt.dk,1
Hay broker og investering,berlingske.dk,1
Hay broker og investering,finans.dk,2
Hay broker og investering,indblik.net,1
Hedvig Krook,aftonbladet.se,1
Hegelun,indblik.dk,1
Heinrich Janson,nan,1
Helen,newsvoice.se,1
Helena Lundbäck,gota.media,1
Helle - DK 🇩🇰,nan,1
Helle - DK 🇩🇰,nyheder.tv2.dk,1
Helle Kramp,berlingske.dk,1
Helle Kramp,ekstrabladet.dk,1
Helle Kramp,journalista.dk,1
Helle Kramp,jp.dk,1
Helle Lund - Nye Borgerlige Gribskov,facebook,2
Helle Lund - Nye Borgerlige Gribskov,nan,4
Helle Schwaner Zarp,ditoverblik.dk,1
Helle Schwaner Zarp,jp.dk,1
Helle Schwaner Zarp,politiken.dk,1
Hello,nan,2
Henning Christensen DF Glostrup,jyllands-posten.dk,1
Henning Friis,indblik.net,1
Henning Friis,jyllands-posten.dk,4
Henning Friis,kristeligt-dagblad.dk,1
Henric Zetterberg (AfS🇸🇪),nan,2
Henric Zetterberg (AfS🇸🇪),twitter,3
Henrik,information.dk,1
Henrik  L. Thornberg,gylle.dk,1
Henrik  L. Thornberg,nan,1
Henrik  L. Thornberg,videnskab.dk,3
Henrik Boye's politiker side.,altinget.dk,4
Henrik Boye's politiker side.,berlingske.dk,1
Henrik Boye's politiker side.,change.org,1
Henrik Boye's politiker side.,dr.dk,8
Henrik Boye's politiker side.,fyens.dk,1
Henrik Boye's politiker side.,information.dk,2
Henrik Boye's politiker side.,information.dk/indland,4
Henrik Boye's politiker side.,ing.dk,4
Henrik Boye's politiker side.,jv.dk,1
Henrik Boye's politiker side.,jyllands-posten.dk,1
Henrik Boye's politiker side.,nan,6
Henrik Boye's politiker side.,nyheder.tv2.dk,3
Henrik Boye's politiker side.,politiken.dk,2
Henrik Boye's politiker side.,videnskab.dk,1
Henrik Dahl,nan,1
Henrik Dahl,politiken.dk,1
Henrik Engel - Nye Borgerlige,bt.dk,1
Henrik Engel - Nye Borgerlige,jyllands-posten.dk,1
Henrik Engel - Nye Borgerlige,nan,12
Henrik Engel - Nye Borgerlige,nyheder.tv2.dk,1
Henrik Hindby Koszyczarek,altinget.dk,1
Henrik Hindby Koszyczarek,berlingske.dk,4
Henrik Hindby Koszyczarek,borsen.dk,1
Henrik Hindby Koszyczarek,dr.dk,2
Henrik Hindby Koszyczarek,finans.dk,3
Henrik Hindby Koszyczarek,information.dk,7
Henrik Hindby Koszyczarek,jp.dk,2
Henrik Hindby Koszyczarek,jyllands-posten.dk,3
Henrik Hindby Koszyczarek,landbrugsavisen.dk,6
Henrik Hindby Koszyczarek,nan,42
Henrik Hindby Koszyczarek,nyheder.tv2.dk,4
Henrik Hindby Koszyczarek,politiken.dk,14
Henrik Hindby Koszyczarek,reuters.com,1
Henrik Hindby Koszyczarek,svt.se,1
Henrik Hindby Koszyczarek,theguardian.com,1
Henrik Hindby Koszyczarek,tv2lorry.dk,1
Henrik Hindby Koszyczarek,vejr.tv2.dk,1
Henrik Hindby Koszyczarek,videnskab.dk,6
Henrik Keller,nan,2
"Henrik T Lauridsen, Nye Borgerlige i Svendborg",nan,3
Henry Shipp,berlingske.dk,1
Hertz,berlingske.dk,1
Hertz,nan,1
Hertz,nyheder.tv2.dk,1
Hertz,vejr.tv2.dk,2
Hespetre Deluxe,nan,3
Hjertets parti,politiken.dk,1
Holger Ewald,pressecop24.com,1
HopelessBaby,24nyt.dk,3
HopelessBaby,jp.dk,1
HopelessBaby,kristeligt-dagblad.dk,1
HopelessBaby,nan,2
HumHum,fplus.se,1
Iben ❤️,dlvr.it,1
Iben ❤️,folkets.dk,1
Iben ❤️,nan,17
Iben 🆓,ekstrabladet.dk,1
Ikkevold,derimot.no,1
Ikkevold,jyllands-posten.dk,1
Ikkevold,nrk.no,1
Impultz,dr.dk,1
Impultz,ekstrabladet.dk,2
Impultz,nan,2
Impultz,nyheder.tv2.dk,1
Impultz,sn.dk,1
Indblik,nan,13
Indblik.dk,indblik.dk,26
Indblik.dk,indblik.net,69
Indblik.dk,nan,7
Indblik.dk - Debatgruppen,altinget.dk,1
Indblik.dk - Debatgruppen,indblik.dk,17
Indblik.dk - Debatgruppen,indblik.net,5
Indblik.dk - Debatgruppen,nan,3
Indsigt Udsyn,denkorteavis.dk,1
InezQT,weltwoche.ch,1
Info fra borger til borger i Esbjerg by,borsen.dk,1
Info fra borger til borger i Esbjerg by,facebook,1
Info fra borger til borger i Esbjerg by,jv.dk,1
Info fra borger til borger i Esbjerg by,nan,9
Inge,nan,1
Inge Vidare,di.se,1
Ingen børnebrude i fremtidens Danmark! :-D,24nyt.dk,2
Ingrid Carlqvist,nan,2
Inte jag,gota.media,1
International Hyggegruppe,altinget.dk,1
International Hyggegruppe,nan,2
International Hyggegruppe ✌✌🏻✌🏼✌🏽✌🏾,facebook,1
International Hyggegruppe ✌✌🏻✌🏼✌🏽✌🏾,nan,8
Ipse,detgodasamhallet.com,1
Ipse,dlvr.it,1
Ipse,samnytt.se,1
Ipse,sverigesradio.se,1
Irene,24nyt.dk,1
Irene,a.msn.com,2
Irene,altinget.dk,1
Irene,berlingske.dk,1
Irene,ditoverblik.dk,1
Irene,dr.dk,3
Irene,ekstrabladet.dk,1
Irene,information.dk,5
Irene,jp.dk,1
Irene,ksdha.wordpress.com,1
Irene,nan,60
Irene,nrk.no,2
Irene,nyheder.tv2.dk,1
Irene,politiken.dk,1
Irene,resett.no,1
Irene,samnytt.se,1
Irene,twitter,1
Irene,vejr.tv2.dk,1
Irene,videnskab.dk,1
J,jp.dk,3
J,nan,1
J,videnskab.dk,1
J. Jensen,nan,7
J. Jensen,nyheder.tv2.dk,1
J. Jensen,politiken.dk,1
JANE VON RATHSACH,berlingske.dk,1
JANE VON RATHSACH,borsen.dk,1
JANE VON RATHSACH,indblik.net,1
JANE VON RATHSACH,jyllands-posten.dk,1
JANE VON RATHSACH,nan,4
JANE VON RATHSACH,nyeborgerlige.dk,4
JANE VON RATHSACH,politiken.dk,1
JANE VON RATHSACH,resett.no,1
JANE VON RATHSACH,sn.dk,1
JBY,di.se,1
JFK21 - Jorden Frihed Kundskab,nan,4
Jacob Meinert Hansen,nan,1
Jacob Rosenberg,180grader.dk,1
Jacob Rosenberg,altinget.dk,1
Jacob Rosenberg,denoffentlige.dk,1
Jacob Rosenberg,nan,6
Jaime Bastidas,borsen.dk,1
Jaime Bastidas,dr.dk,1
Jaime Bastidas,nan,47
Jakob Brandt,nan,1
Jakob Rosenfeldt,nan,1
Jakob Søgaard Clausen - Dansk Folkeparti,berlingske.dk,1
Jakob Søgaard Clausen - Dansk Folkeparti,ditoverblik.dk,6
Jakob Søgaard Clausen - Dansk Folkeparti,facebook,1
Jakob Søgaard Clausen - Dansk Folkeparti,jyllands-posten.dk,1
Jakob Søgaard Clausen - Dansk Folkeparti,nan,2
Jakob Søgaard Clausen - Dansk Folkeparti,nyheder.tv2.dk,1
Jakob Søgaard Clausen - Dansk Folkeparti,raeson.dk,2
Jakob Søgaard Clausen - Dansk Folkeparti,stiften.dk,3
Jan E. Jørgensen,jyllands-posten.dk,2
Jan E. Jørgensen,nan,10
Jan Ericson,nan,1
Jan Ericson 🇸🇪🇺🇦,technocracy.news,1
Jan Eriksen,altinget.dk,1
Jan Eriksen,jp.dk,2
Jan Eriksen,nan,1
Jan Karlsson 🇸🇪,di.se,1
Jan Karlsson 🇸🇪,gota.media,1
Jan Karlsson 🇸🇪,samnytt.se,1
Jan Lindberg,gota.media,1
Jan M.R.Carlsen,24nyt.dk,1
Jan M.R.Carlsen,a.msn.com,3
Jan M.R.Carlsen,altinget.dk,3
Jan M.R.Carlsen,berlingske.dk,1
Jan M.R.Carlsen,denkorteavis.dk,3
Jan M.R.Carlsen,ditoverblik.dk,9
Jan M.R.Carlsen,nan,1
Jan Sjunnesson,bakomkulisserna.biz,1
Jan Sjunnesson,detgodasamhallet.com,1
Jan Sjunnesson,nan,3
Jan Sjunnesson,resett.no,1
Jan Voss Hansen,ditoverblik.dk,2
Jan Voss Hansen,facebook,1
Jan Voss Hansen,nyheder.tv2.dk,1
Janni Hansen,nan,1
Janus,borsen.dk,1
Jeg stemmer Stram Kurs,nan,1
Jens Beck,nan,11
Jens Vornøe DF,altinget.dk,5
Jens Vornøe DF,berlingske.dk,3
Jens Vornøe DF,borsen.dk,1
Jens Vornøe DF,danskfolkeparti.dk,1
Jens Vornøe DF,denkorteavis.dk,1
Jens Vornøe DF,ditoverblik.dk,2
Jens Vornøe DF,document.dk,1
Jens Vornøe DF,dr.dk,1
Jens Vornøe DF,ekstrabladet.dk,2
Jens Vornøe DF,facebook,10
Jens Vornøe DF,ing.dk,1
Jens Vornøe DF,jyllands-posten.dk,3
Jens Vornøe DF,nan,7
Jens Vornøe DF,nyheder.tv2.dk,1
Jens Vornøe DF,politiken.dk,1
JensErik Larsen,dr.dk,1
JensErik Larsen,indblik.net,1
JensErik Larsen,jp.dk,3
JensErik Larsen,nan,1
Jensen,nan,4
Jeppe Samuel Cholewa Juhl,nan,5
Joel,nan,2
Joel,nyheder.tv2.dk,1
Joel L,nan,1
Johan Emil Rasmussen,nan,6
Johanne Marie Færge,borsen.dk,1
Johanne Marie Færge,jp.dk,1
John Bjerg     Nye Borgerlige    Jammerbugten,facebook,1
John Bjerg     Nye Borgerlige    Jammerbugten,nan,2
John Bjerg     Nye Borgerlige    Jammerbugten,nyheder.tv2.dk,1
John Erik Hartung Wagner,nan,9
John Hansen,nan,1
John Lund,a.msn.com,13
John Lund,arbejderen.dk,1
John Lund,berlingske.dk,1
John Lund,borsen.dk,2
John Lund,edition.cnn.com,1
John Lund,jyllands-posten.dk,1
John Lund,nan,23
John Lund,politiken.dk,1
John Lund,videnskab.dk,1
John T Sand,youtube,1
Johnny Alpha tc.,jv.dk,1
Johnny Frederiksen,180grader.dk,1
Johnny Frederiksen,24nyt.dk,1
Johnny Frederiksen,nan,32
Johnny H,aftonbladet.se,1
Jonas Ghiyati,nan,2
Jonas Ghiyati,zetland.dk,1
Jonas Herby CEPOS,altinget.dk,2
Jonas Herby CEPOS,berlingske.dk,7
Jonas Herby CEPOS,borsen.dk,1
Jonas Herby CEPOS,facebook,13
Jonas Herby CEPOS,kristeligt-dagblad.dk,1
Jonas Herby CEPOS,nan,8
Jonas Herby CEPOS,politiken.dk,1
Jonas Herby CEPOS,rokokoposten.dk,1
Jonas Lundén,gota.media,1
Journalista,journalista.dk,17
Journalista Undersøgende Journalistik,journalista.dk,18
Jouwatch,journalistenwatch.com,1
Julius Børgesen,nan,1
Justitia,dr.dk,1
Jyderup,tv2east.dk,1
Jörg Wilkers,faz.net,1
Jørn Rasmussen,effektivtlandbrug.landbrugnet.dk,3
Jørn Rasmussen,information.dk,1
Jørn Rasmussen,jyllands-posten.dk,1
Jørn Rasmussen,nan,4
Jørn Viking,dlvr.it,1
Jørn Viking,jp.dk,2
Jørn Viking,nan,2
Jürgen,nan,1
K P Johansson,dt.se,1
K-G.🎨👊👊.,nan,1
KIDA,politiken.dk,1
KRITISK OPSLAGSTAVLE,nyheder.tv2.dk,1
KRITISK OPSLAGSTAVLE,videnskab.dk,1
Karen Jespersen,denkorteavis.dk,7
Karin **🐱♎️🐘🇸🇪. Finns på GAB,nan,1
Karina Adsbøl,ekstrabladet.dk,1
Karina Bergmann,dr.dk,1
Karina Bergmann,nan,1
Karl Ohlsson🇸🇪,youtube,1
KarlB,samnytt.se,1
Karlheinz Grawe,eike-klima-energie.eu,1
Karlheinz Grawe,flinkfeed.com,1
Karlheinz Grawe,journalistenwatch.com,1
Karlheinz Grawe,sciencefiles.org,1
Karsten Hedemark Hedmark. Politik Nyborg.,nan,1
